58111.160 17.442 0.005 18.826 0.020 LT 
58138.136 17.457 0.005 18.827 0.020 LT 
58194.930 17.461 0.005 18.843 0.020 LT 
58223.897 17.465 0.005 18.840 0.020 LT 
58235.873 17.462 0.005 18.819 0.020 LT 
58407.239 17.431 0.007 18.782 0.028 LT 
58422.192 17.464 0.007 18.788 0.028 LT 
58462.191 17.460 0.005 18.789 0.020 LT 
58466.329 17.458 0.006 18.851 0.012 DECam 
58491.071 17.452 0.005 18.818 0.020 LT 
58520.063 17.438 0.005 18.820 0.020 LT 
58589.897 17.450 0.007 18.824 0.028 LT 
58809.275 17.334 0.005 18.751 0.020 LT 
58814.243 17.334 0.005 18.745 0.020 LT 
58828.280 17.334 0.005 18.756 0.020 LT 
58863.241 17.337 0.005 18.755 0.020 LT 
58900.037 17.329 0.005 18.748 0.020 LT 
58911.977 17.335 0.005 18.782 0.020 LT 
58946.978 17.348 0.005 18.789 0.020 LT 
58974.972 17.338 0.005 18.767 0.020 LT 
59155.264 17.236 0.005 18.673 0.020 LT 
59172.273 17.201 0.005 18.682 0.020 LT 
59191.236 17.186 0.005 18.629 0.020 LT 
59212.269 17.166 0.005 18.645 0.020 LT 
59240.008 17.174 0.004 18.657 0.014 LT 
59246.006 17.180 0.004 18.618 0.016 LT 
59248.077 17.176 0.005 18.664 0.020 LT 
59276.960 17.184 0.005 18.660 0.020 LT 
59283.958 17.203 0.005 18.588 0.020 LT 
59286.969 17.195 0.005 18.649 0.020 LT 
59289.950 17.193 0.005 18.655 0.020 LT 
59296.969 17.206 0.005 18.656 0.020 LT 
59302.928 17.205 0.005 18.645 0.020 LT 
59307.929 17.183 0.005 18.681 0.020 LT 
59323.866 17.199 0.005 18.663 0.020 LT 
59566.286 17.239 0.005 18.694 0.020 LT 
59573.126 17.230 0.005 18.681 0.020 LT 
59574.195 17.218 0.005 18.708 0.020 LT 
59577.196 17.221 0.005 18.696 0.020 LT 
59580.074 17.209 0.005 18.680 0.020 LT 
59592.027 17.201 0.005 18.651 0.020 LT 
59601.133 17.215 0.005 18.613 0.020 LT 
59621.950 17.194 0.007 18.598 0.028 LT 
59648.012 17.191 0.005 18.637 0.020 LT 
59649.903 17.199 0.005 18.655 0.020 LT 
59662.980 17.192 0.005 18.655 0.020 LT 
59669.014 17.205 0.005 18.636 0.020 LT 
59670.877 17.199 0.005 18.667 0.020 LT 
59675.897 17.197 0.005 18.623 0.020 LT 
59676.892 17.195 0.005 18.636 0.020 LT 
59688.904 17.196 0.005 18.684 0.020 LT 
59692.928 17.198 0.005 18.656 0.020 LT 
59695.873 17.210 0.005 18.661 0.020 LT 
59697.873 17.210 0.005 18.669 0.020 LT 
59700.879 17.221 0.005 18.674 0.020 LT 
59703.917 17.222 0.005 18.685 0.020 LT 
59706.871 17.249 0.007 18.685 0.028 LT 
